geo_value,time_value,value,stderr
fl,2022-05-05,13.287573,0.5875169
ga,2022-05-05,13.7343924,0.967411
hi,2022-05-05,9.9480122,2.1488888
ia,2022-05-05,15.0546803,1.371448
id,2022-05-05,12.4794177,1.8561636
il,2022-05-05,12.8976249,0.7411792
in,2022-05-05,17.9048222,1.1461165
ks,2022-05-05,16.5484902,1.6023287
ky,2022-05-05,14.4728337,1.3367197
la,2022-05-05,16.9933581,1.5568067
ma,2022-05-05,13.7602871,1.0545918
md,2022-05-05,15.1754651,1.207401
me,2022-05-05,14.115834,1.654276
mi,2022-05-05,13.5929331,0.7355317
mn,2022-05-05,14.6158364,1.1671487
mo,2022-05-05,16.2601539,1.1751407
ms,2022-05-05,14.1114937,1.7267678
mt,2022-05-05,19.9663212,2.6710705
nc,2022-05-05,14.5486204,0.8890082
nd,2022-05-05,13.6805349,3.1904794
ne,2022-05-05,10.6391376,1.6183176
nh,2022-05-05,12.4568217,1.8695517
nj,2022-05-05,10.3783761,0.9284541
nm,2022-05-05,20.6524031,2.0078134
nv,2022-05-05,15.9053364,1.9222532
ny,2022-05-05,15.4984656,0.6785968
oh,2022-05-05,16.3039529,0.8621092
ok,2022-05-05,18.3189471,1.6286491
or,2022-05-05,16.1600728,1.2457737
pa,2022-05-05,15.2521222,0.7821315
ri,2022-05-05,13.2518316,2.41568
sc,2022-05-05,10.4987745,1.0386626
sd,2022-05-05,9.3690644,2.1602807
tn,2022-05-05,15.2122481,1.1447503
tx,2022-05-05,15.1132637,0.6436182
ut,2022-05-05,16.2839193,1.688937
va,2022-05-05,12.8930207,0.8788901
vt,2022-05-05,12.6772204,2.4011794
wa,2022-05-05,18.408107,1.0073901
wi,2022-05-05,13.6228065,1.0282171
wv,2022-05-05,15.6260451,1.8385184
wy,2022-05-05,10.4197302,2.7658584
ak,2022-05-06,14.7159561,2.7579486
al,2022-05-06,16.3857172,1.4194221
ar,2022-05-06,20.5058394,1.8409119
az,2022-05-06,14.7311857,1.1160128
ca,2022-05-06,14.4183322,0.5374984
co,2022-05-06,13.8652649,1.1487803
ct,2022-05-06,14.8105029,1.301367
de,2022-05-06,9.4893569,2.0671414
fl,2022-05-06,13.0436052,0.5791123
ga,2022-05-06,13.5940423,0.9689939
hi,2022-05-06,11.6515564,2.3525288
ia,2022-05-06,15.7708108,1.4070563
id,2022-05-06,10.0543024,1.6836992
il,2022-05-06,12.6376934,0.7275097
in,2022-05-06,17.8607707,1.1399308
ks,2022-05-06,13.9336769,1.4987378
ky,2022-05-06,15.9537545,1.3822902
la,2022-05-06,18.5488757,1.5789603
ma,2022-05-06,14.3034758,1.0773823
md,2022-05-06,13.207161,1.12919
me,2022-05-06,12.5468456,1.5720398
mi,2022-05-06,14.0343236,0.7423958
mn,2022-05-06,14.142526,1.141969
mo,2022-05-06,15.7932244,1.167304
ms,2022-05-06,11.4158211,1.5788843
mt,2022-05-06,20.5914881,2.7028198
